date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:50:12	467232/467232	---M--	200	added ('OK')	image/jpeg	etag:%225aaa2548-72120%22	https://static-eu.insales.ru/files/1/5364/3224820/original/slide_1.JPG	C:/Users/%d0%90%d0%bd%d0%b4%d1%80%d1%96%d0%b9/Documents/iuhgbnmkj/static-eu.insales.ru/files/1/5364/3224820/original/slide_1.jpg	(from http://pleinair.myinsales.ru/)
21:50:13	58039/58039	---M--	200	added ('OK')	text/html	etag:%22f351410c7ace1c4152bb03fb730f3100%22	http://pleinair.myinsales.ru/product/divan-panama-sand-ot-eichholtz	C:/Users/%d0%90%d0%bd%d0%b4%d1%80%d1%96%d0%b9/Documents/iuhgbnmkj/pleinair.myinsales.ru/product/divan-panama-sand-ot-eichholtz.html	(from http://pleinair.myinsales.ru/)
21:50:15	8847/8847	---M--	200	added ('OK')	image/jpeg	etag:%225b209f2e-228f%22	https://static-eu.insales.ru/images/products/1/2249/121276617/large_large_ei5545.jpg	C:/Users/%d0%90%d0%bd%d0%b4%d1%80%d1%96%d0%b9/Documents/iuhgbnmkj/static-eu.insales.ru/images/products/1/2249/121276617/large_large_ei5545.jpg	(from http://pleinair.myinsales.ru/)
21:50:16	61328/61328	---M--	200	added ('OK')	text/html	etag:%2250da265b1551c4f11a20d0578807b885%22	http://pleinair.myinsales.ru/product/kreslo-cliveden-ot-eichholtz	C:/Users/%d0%90%d0%bd%d0%b4%d1%80%d1%96%d0%b9/Documents/iuhgbnmkj/pleinair.myinsales.ru/product/kreslo-cliveden-ot-eichholtz.html	(from http://pleinair.myinsales.ru/)
21:50:19	59354/59354	---M--	200	added ('OK')	text/html	etag:%22171a6e91669de53943d8960fb60e7dda%22	http://pleinair.myinsales.ru/product/stul-pit	C:/Users/%d0%90%d0%bd%d0%b4%d1%80%d1%96%d0%b9/Documents/iuhgbnmkj/pleinair.myinsales.ru/product/stul-pit.html	(from http://pleinair.myinsales.ru/)
21:50:20	491253/491253	---M--	200	added ('OK')	image/jpeg	etag:%225aaa2549-77ef5%22	https://static-eu.insales.ru/files/1/5366/3224822/original/slide_3.JPG	C:/Users/%d0%90%d0%bd%d0%b4%d1%80%d1%96%d0%b9/Documents/iuhgbnmkj/static-eu.insales.ru/files/1/5366/3224822/original/slide_3.jpg	(from http://pleinair.myinsales.ru/)
21:50:21	13113/13113	---M--	200	added ('OK')	image/jpeg	etag:%22595e24ad-3339%22	https://static-eu.insales.ru/images/products/1/2134/121276502/large_large_to0284.jpg	C:/Users/%d0%90%d0%bd%d0%b4%d1%80%d1%96%d0%b9/Documents/iuhgbnmkj/static-eu.insales.ru/images/products/1/2134/121276502/large_large_to0284.jpg	(from http://pleinair.myinsales.ru/)
21:50:21	21197/21197	---M--	200	added ('OK')	image/jpeg	etag:%2258f9c543-52cd%22	https://static-eu.insales.ru/images/products/1/6647/113506807/large_ei6542.jpg	C:/Users/%d0%90%d0%bd%d0%b4%d1%80%d1%96%d0%b9/Documents/iuhgbnmkj/static-eu.insales.ru/images/products/1/6647/113506807/large_ei6542.jpg	(from http://pleinair.myinsales.ru/)
21:50:22	11203/11203	---M--	200	added ('OK')	image/jpeg	etag:%22595e249f-2bc3%22	https://static-eu.insales.ru/images/products/1/2115/121276483/large_large_et0015.jpg	C:/Users/%d0%90%d0%bd%d0%b4%d1%80%d1%96%d0%b9/Documents/iuhgbnmkj/static-eu.insales.ru/images/products/1/2115/121276483/large_large_et0015.jpg	(from http://pleinair.myinsales.ru/)
21:50:24	10236/10236	---M--	200	added ('OK')	image/jpeg	etag:%22595e24d4-27fc%22	https://static-eu.insales.ru/images/products/1/2205/121276573/large_large_tr0225_3.jpg	C:/Users/%d0%90%d0%bd%d0%b4%d1%80%d1%96%d0%b9/Documents/iuhgbnmkj/static-eu.insales.ru/images/products/1/2205/121276573/large_large_tr0225_3.jpg	(from http://pleinair.myinsales.ru/)
